anno,evento,date,weekday,celebrazione,id_celebrazione,ciclo_domenicale,id_liturgia
2021,Assunzione della Beata Vergine Maria,2021-08-15,Sunday,15 agosto: Assunzione della beata Vergine Maria – Messa del giorno,C77,B,C77-B
2021,Esaltazione della Santa Croce,2021-09-14,Tuesday,14 settembre: Esaltazione della Santa Croce,C78,B,C78-B
2021,Solennità di tutti i Santi,2021-11-01,Monday,1 novembre: Tutti i Santi,C79,B,C79-B
2021,Commemorazione dei defunti,2021-11-02,Tuesday,2 novembre: Commemorazione di tutti i fedeli defunti – 1° schema,C80,B,C80-B
2021,Commemorazione dei defunti,2021-11-02,Tuesday,2 novembre: Commemorazione di tutti i fedeli defunti – 2° schema,C81,B,C81-B
2021,Commemorazione dei defunti,2021-11-02,Tuesday,2 novembre: Commemorazione di tutti i fedeli defunti – 3° schema,C82,B,C82-B
2021,Dedicazione Basilica Lateranense,2021-11-09,Tuesday,9 novembre: Dedicazione della Basilica lateranense,C83,B,C83-B
2021,Immacolata Concezione,2021-12-08,Wednesday,8 dicembre: Immacolata Concezione della beata Vergine Maria,C84,B,C84-B
2021,Giornata mondiale della pace,2021-01-01,Friday,,,B,-B
2021,Santissimo nome di Gesù,2021-01-03,Sunday,,,B,-B
2021,Conversione di San Paolo apostolo,2021-01-25,Monday,,,B,-B
