testo,pagina
"SECONDA LETTURA Dalla lettera di san Paolo apostolo agli Efesìni 3, 2-3a.5-6 Fratelli, penso che abbiate sentito parlare del ministero. Esso non è stato manifestato agli uomini delle precedenti geParola di Dio. CANTO AL VANGELO Alleluia, alleluia. Abbiamo visto la sua stella in oriente Alleluia.",86
"VANGELO Dal Vangelo secondo Matteo 2, 1-12 Nato Gesù a Betlemme di Giudea, al tempo del lui tutta Gerusalemme. Riuniti tutti i capi dei sacerdoti e gli Allora Erode, chiamati segretamente i Magi, si fece dire da loUdito il re, essi partirono. Ed ecco, la stella, che avevano vi-",89
"aprirono i loro scrigni e gli offrirono in dono oro, incenso e Parola del Signore.",90
"BATTESIMO PRIMA LETTURA Dal libro del profeta Isaìa 55, 1-11 Così dice il Signore: «O voi tutti assetati, venite all’acqua, comprate e mangiate; venite, comprate Porgete l’orecchio e venite a me, Ecco, tu chiamerai gente che non conoscevi;",91
"Cercate il Signore, mentre si fa trovare, Perché i miei pensieri non sono i vostri pensieri, Come infatti la pioggia e la neve scendono dal cielo Parola di Dio.",92
"SALMO RESPONSORIALE Attingeremo con gioia alle sorgenti della salvezza. Ecco, Dio è la mia salvezza; Rendete grazie al Signore e invocate il suo nome, Cantate inni al Signore, perché ha fatto cose eccelse,",95
"SECONDA LETTURA Dalla prima lettera di san Giovanni apostolo 5, 1-9 Carissimi, chiunque crede che Gesù è il Cristo, è stato nosciamo di amare i figli di Dio: quando amiamo Dio e osserE chi è che vince il mondo se non chi crede che Gesù è il FiParola di Dio.",96
"CANTO AL VANGELO Alleluia, alleluia. Giovanni, vedendo Gesù venire verso di lui, disse: Alleluia. VANGELO Tu sei il Figlio mio, l’amato: Dal Vangelo secondo Marco 1, 7-11 In quel tempo, Giovanni proclamava: «Viene doEd ecco, in quei giorni, Gesù venne da Nàzaret di Galilea e fu Parola del Signore.",97
TEMPO,99
"I DOMENICA PRIMA LETTURA Dal libro della Gènesi 9, 8-15 Dio disse a Noè e ai suoi figli con lui: «Quanto a me, che è con voi, uccelli, bestiame e animali selvatici, con tutti Dio disse:",101
"che è tra me e voi Parola di Dio. SALMO RESPONSORIALE Tutti i sentieri del Signore sono amore e fedeltà. Fammi conoscere, Signore, le tue vie, Ricòrdati, Signore, della tua misericordia Buono e retto è il Signore,",102
"SECONDA LETTURA Dalla prima lettera di san Pietro apostolo 3, 18-22 Carissimi, Cristo è morto una volta per sempre per i E nello spirito andò a portare l’annuncio anche alle anime Quest’acqua, come immagine del battesimo, ora salva anche Parola di Dio.",105
"CANTO AL VANGELO Lode a te, o Cristo, re di eterna gloria! Non di solo pane vivrà l’uomo, Lode a te, o Cristo, re di eterna gloria! VANGELO Gesù, tentato da satana, è servito dagli angeli. Dal Vangelo secondo Marco 1, 12-15 In quel tempo, lo Spirito sospinse Gesù nel deDopo che Giovanni fu arrestato, Gesù andò nella Galilea, proclamando il vangelo di Dio, e diceva: «Il tempo Parola del Signore.",106
"II DOMENICA PRIMA LETTURA Dal libro della Gènesi 22, 1-2.9a.10-13.15-18 In quei giorni, Dio mise alla prova Abramo e gli disse: territorio di Mòria e offrilo in olocausto su di un monte che Così arrivarono al luogo che Dio gli aveva indicato; qui AbraAllora Abramo alzò gli occhi e vide un ariete, impigliato con L’angelo del Signore chiamò dal cielo Abramo per la seconda",107
"unigenito, io ti colmerò di benedizioni e renderò molto nuParola di Dio. SALMO RESPONSORIALE Camminerò alla presenza del Signore Ho creduto anche quando dicevo: Ti prego, Signore, perché sono tuo servo; Adempirò i miei voti al Signore",108
"SECONDA LETTURA Dalla lettera di san Paolo apostolo ai Romani 8, 31b-34 Fratelli, se Dio è per noi, chi sarà contro di noi? Egli, cosa insieme a lui? Chi muoverà accuse contro coloro che Dio ha scelto? Dio è coParola di Dio. CANTO AL VANGELO Cf. Mc 9, 7 Lode e onore a te, Signore Gesù! Dalla nube luminosa, si udì la voce del Padre: Lode e onore a te, Signore Gesù!",111
"VANGELO Dal Vangelo secondo Marco 9, 2-10 In quel tempo, Gesù prese con sé Pietro, GiacoFu trasfigurato davanti a loro e le sue vesti divandaio sulla terra potrebbe renderle così bianche. E apparve Mentre scendevano dal monte, ordinò loro di non raccontare Parola del Signore.",112
"III DOMENICA In luogo delle letture qui riportate, si possono usare quelle della III doPRIMA LETTURA La legge fu data per mezzo di Mosè. Dal libro dell’Èsodo 20, 1-17 In quei giorni, Dio pronunciò tutte queste parole: «Io Non avrai altri dèi di fronte a me.",113
vorerai e farai ogni tuo lavoro; ma il settimo giorno è il sabaParola di Dio.,114
"Forma breve: La legge fu data per mezzo di Mosè. Dal libro dell’Èsodo 20, 1-3.7-8.12-17 In quei giorni, Dio pronunciò tutte queste parole: «Io Non avrai altri dèi di fronte a me. Parola di Dio.",115
"SALMO RESPONSORIALE Signore, tu hai parole di vita eterna. La legge del Signore è perfetta, I precetti del Signore sono retti, Il timore del Signore è puro, Più preziosi dell’oro,",116
"SECONDA LETTURA Dalla prima lettera di san Paolo apostolo ai Corìnzi 1, 22-25 Fratelli, mentre i Giudei chiedono segni e i Greci cerma per coloro che sono chiamati, sia Giudei che Greci, Cristo Infatti ciò che è stoltezza di Dio è più sapiente degli uomini, Parola di Dio. CANTO AL VANGELO Cf. Gv 3, 16 Lode e onore a te, Signore Gesù! Dio ha tanto amato il mondo da dare il Figlio unigenito; Lode e onore a te, Signore Gesù!",117
"VANGELO Dal Vangelo secondo Giovanni 2, 13-25 Si avvicinava la Pasqua dei Giudei e Gesù salì a biamonete e ne rovesciò i banchi, e ai venditori di colombe Allora i Giudei presero la parola e gli dissero: «Quale segno ci Quando poi fu risuscitato dai morti, i suoi discepoli si ricorMentre era a Gerusalemme per la Pasqua, durante la festa,",118
tutti e non aveva bisogno che alcuno desse testimonianza Parola del Signore.,119
