id_canti,titolo,autore,raccolta,momento,link_youtube
1754,Agnello di Dio,Gen Rosso ,Dove tu sei,71,cG_qku6yqiE
1831,Agnello di Dio ,Gen Verde,E' bello lodarti,71,-KG686w__c0
1909,Agnello di Dio,Renato Giorgi,,22,
1912,Agnello di Dio,Giosy Cento,,71,TRjrNXPZIUI
1945,Agnello di Dio,Salvatore Basilotta,,71,0fyZwv2MdYs
2001,Agnello di Dio,Marco Frisina,Pane di vita nuova,71,3gkGaXTgpoA
2272,Agnello di Dio,Daniele Ricci,,71,
2463,Agnello di Dio ,Picchi,,71,lPaQk03EUP8
2490,Agnello di Dio,Francesco Buttazzo,Si è fatto come noi,71,JixeMjg5CWQ
1915,Agnello di Dio (da Sorgente di unità),Francesco Buttazzo,,71,QL8vus9_Ni4
2186,Agnello di Dio Exsultet,Daniele Esposito,,71,I2p7D0mQViM
1582,"Agnello di Dio, abbi pietà",Pasquale Dargenio,Sorgente di vita,71,gk9iCq9b4gQ
1951,"Agnello di Dio, abbi pietà",Daniele Ricci - Venne Nel Mondo,,71,eoYN_mTZzi0
1911,Agnus Dei,,,71,
