id_liturgia,riferimento,id_canti,vector_similarity
C9-A,seconda_lettura,2430,0.7103476186011821
C9-A,seconda_lettura,61,0.7058576661586583
C9-A,seconda_lettura,2974,0.7008863271381616
C9-A,seconda_lettura,2101,0.6998781222028225
C9-A,seconda_lettura,2016,0.6991665024543153
C9-A,seconda_lettura,2273,0.6982902764497025
C9-A,versetto,102,0.4966814663937668
C9-A,versetto,2123,0.4950828064247449
C9-A,versetto,2024,0.4797735699374668
C9-A,versetto,2032,0.4580374499432481
C9-A,versetto,1922,0.4522311710698535
C9-A,versetto,1705,0.4450528839189424
C9-A,versetto,101,0.4423998375579214
C9-A,versetto,2596,0.4299783446723899
C9-A,versetto,2094,0.4234879424147329
C9-A,versetto,263,0.4018116614091301
C9-A,vangelo,2063,0.5761043518576638
C9-A,vangelo,227,0.5533973821029927
C9-A,vangelo,1811,0.545317334647151
C9-A,vangelo,2110,0.5309028001130139
C9-A,vangelo,1989,0.5165096748675121
C9-A,vangelo,25,0.5124786688763349
C9-A,vangelo,2192,0.5077216793032727
C9-A,vangelo,2618,0.4995889329163835
C9-A,vangelo,1578,0.4990447477373402
C9-A,vangelo,2995,0.491068817811878
C10-A,liturgia,1578,0.7914385425487489
C10-A,liturgia,2597,0.7901104517228328
C10-A,liturgia,2533,0.788910414053757
C10-A,liturgia,82,0.7847427209188115
C10-A,liturgia,2238,0.7816630248770108
C10-A,liturgia,2802,0.7763591650056552
C10-A,liturgia,184,0.7562305222420227
C10-A,liturgia,1836,0.7527309797699413
C10-A,liturgia,2401,0.7449514359856871
C10-A,liturgia,2085,0.7353449708580995
C10-A,prima_lettura,2802,0.6776143900402419
C10-A,prima_lettura,2085,0.665269695079153
C10-A,prima_lettura,370,0.6652152043346218
C10-A,prima_lettura,2238,0.6566511075526383
C10-A,prima_lettura,82,0.6481453335363516
C10-A,prima_lettura,2340,0.634078913619441
C10-A,prima_lettura,1833,0.6271638195638896
C10-A,prima_lettura,2401,0.619577236731897
C10-A,prima_lettura,1836,0.6165958884697077
C10-A,prima_lettura,1730,0.605195640271114
C10-A,salmo,2596,0.5431629670159321
C10-A,salmo,2897,0.4864582638321669
C10-A,salmo,2063,0.4861657646380083
C10-A,salmo,102,0.4843332692668499
C10-A,salmo,2142,0.4792743072875592
C10-A,salmo,2493,0.4751306161854831
C10-A,salmo,2024,0.4632568231642237
C10-A,salmo,100,0.4559992784966425
C10-A,salmo,2755,0.4552750722849952
