id_canti,mean_text_similarity,max_text_similarity
337,0.17,0.44
2445,0.17,0.4
2079,0.17,0.31
2785,0.17,0.32
1687,0.17,0.39
2187,0.17,0.31
2438,0.17,0.3
168,0.17,0.28
1660,0.17,0.33
1686,0.17,0.3
1623,0.17,0.38
2475,0.17,0.32
2038,0.17,0.28
2031,0.17,0.32
1797,0.17,0.28
1685,0.17,0.32
2100,0.17,0.29
1662,0.17,0.28
18,0.17,0.31
2158,0.17,0.28
2887,0.17,0.29
2666,0.17,0.32
2030,0.17,0.25
188,0.17,0.28
1787,0.17,0.36
1785,0.17,0.28
2437,0.17,0.4
2638,0.17,0.36
2620,0.17,0.29
1942,0.17,0.31
2933,0.17,0.28
1765,0.17,0.59
1991,0.17,0.3
17,0.17,0.3
1703,0.17,0.29
293,0.17,0.28
1592,0.17,0.27
2557,0.17,0.33
1594,0.17,0.41
2323,0.17,0.34
2225,0.17,0.34
126,0.17,0.36
2208,0.17,0.59
2750,0.17,0.31
2333,0.17,0.36
1842,0.17,0.34
1598,0.17,0.28
1979,0.17,0.27
2357,0.17,0.3
2546,0.17,0.37
136,0.17,0.27
2006,0.17,0.3
2376,0.17,0.31
2311,0.17,0.5
2312,0.17,0.29
2209,0.17,0.29
2064,0.17,0.54
2207,0.17,0.31
2137,0.17,0.34
2586,0.17,0.31
2368,0.17,0.36
28,0.17,0.31
1864,0.17,0.31
1570,0.17,0.31
2242,0.17,0.29
1693,0.17,0.37
1572,0.17,0.3
1573,0.17,0.28
83,0.16,0.24
2060,0.16,0.52
365,0.16,0.26
1839,0.16,0.34
2450,0.16,0.26
1891,0.16,0.31
2578,0.16,0.24
2483,0.16,0.29
2922,0.16,0.29
350,0.16,0.27
2114,0.16,0.27
2043,0.16,0.26
1814,0.16,0.28
1399,0.16,0.29
1811,0.16,0.26
1389,0.16,0.35
1860,0.16,0.24
1631,0.16,0.28
1702,0.16,0.44
130,0.16,0.39
2601,0.16,0.28
1902,0.16,0.25
2148,0.16,0.38
2639,0.16,0.29
2569,0.16,0.29
1725,0.16,0.28
1741,0.16,0.3
1997,0.16,0.29
2665,0.16,0.3
2425,0.16,0.34
2281,0.16,0.3
1577,0.16,0.41
3002,0.16,0.3
2272,0.16,0.29
1775,0.16,0.27
2022,0.16,0.3
2778,0.16,0.3
2800,0.16,0.46
1934,0.16,0.26
228,0.16,0.33
1950,0.16,0.5
2772,0.16,0.24
267,0.16,0.23
1554,0.16,0.27
235,0.16,0.32
302,0.16,0.3
1547,0.16,0.29
1609,0.16,0.35
1612,0.16,0.36
2766,0.16,0.33
412,0.16,0.28
1543,0.16,0.33
2331,0.16,0.29
3013,0.16,0.29
2379,0.16,0.29
2654,0.16,0.27
2381,0.16,0.43
2917,0.16,0.3
2934,0.15,0.26
486,0.15,0.26
1571,0.15,0.22
1954,0.15,0.27
1865,0.15,0.22
347,0.15,0.52
290,0.15,0.3
2542,0.15,0.28
1868,0.15,0.48
1764,0.15,0.26
1569,0.15,0.23
154,0.15,0.36
2130,0.15,0.25
2302,0.15,0.44
1604,0.15,0.28
2306,0.15,0.66
2583,0.15,0.29
42,0.15,0.26
2861,0.15,0.28
2321,0.15,0.29
1666,0.15,0.29
2145,0.15,0.37
2000,0.15,0.26
1597,0.15,0.26
2603,0.15,0.3
379,0.15,0.24
1974,0.15,0.26
280,0.15,0.25
1852,0.15,0.27
2929,0.15,0.28
2002,0.15,0.23
2872,0.15,0.33
1591,0.15,0.29
2237,0.15,0.28
2195,0.15,0.3
2373,0.15,0.25
2525,0.15,0.29
247,0.15,0.55
2409,0.15,0.38
279,0.15,0.33
487,0.15,0.24
2476,0.15,0.31
2419,0.15,0.26
2423,0.15,0.26
2164,0.15,0.24
2180,0.15,0.27
2636,0.15,0.25
1624,0.15,0.3
5,0.15,0.34
2172,0.15,1.0
2177,0.15,0.25
2456,0.15,0.29
2444,0.15,0.27
2452,0.15,0.22
207,0.15,0.27
325,0.15,0.24
2781,0.15,0.23
1553,0.15,0.23
29,0.15,0.37
1670,0.15,0.25
2617,0.15,0.3
1561,0.15,0.23
1710,0.15,0.38
2499,0.15,0.3
2625,0.15,0.36
2615,0.15,0.25
2404,0.15,0.27
2493,0.15,0.27
2630,0.15,0.33
1658,0.15,0.32
81,0.14,0.37
2991,0.14,0.28
319,0.14,0.28
436,0.14,0.33
490,0.14,0.34
324,0.14,0.28
2736,0.14,0.3
291,0.14,0.31
66,0.14,0.2
318,0.14,0.25
2953,0.14,0.27
2621,0.14,0.25
300,0.14,0.21
2696,0.14,0.28
3008,0.14,0.32
2602,0.14,0.25
314,0.14,0.24
2655,0.14,0.31
1,0.14,0.35
1812,0.14,0.35
2147,0.14,0.21
1792,0.14,0.22
2395,0.14,0.23
20,0.14,0.28
2405,0.14,0.23
2424,0.14,0.25
2432,0.14,0.35
2433,0.14,0.27
1750,0.14,0.22
1747,0.14,0.31
1745,0.14,0.77
1712,0.14,0.27
246,0.14,0.23
2470,0.14,0.44
1691,0.14,0.29
2091,0.14,0.34
2063,0.14,0.25
1802,0.14,0.31
2378,0.14,0.28
1916,0.14,0.33
2210,0.14,0.3
2200,0.14,0.26
2274,0.14,0.26
2277,0.14,0.32
2280,0.14,0.39
1930,0.14,0.22
19,0.14,0.24
1825,0.14,0.22
2322,0.14,0.33
2040,0.14,0.37
2051,0.14,0.26
2348,0.14,0.28
2356,0.14,0.28
1833,0.14,0.45
1679,0.14,0.37
1993,0.14,0.21
1643,0.14,0.28
1595,0.14,0.25
1454,0.14,0.28
1544,0.14,0.29
2519,0.14,0.27
14,0.14,0.22
2518,0.14,0.25
2513,0.14,0.29
2146,0.14,0.23
1579,0.14,0.47
2523,0.14,0.35
2497,0.14,0.27
1629,0.14,0.3
2110,0.14,0.2
1659,0.14,0.25
1874,0.13,0.21
2339,0.13,0.31
203,0.13,0.22
2556,0.13,0.29
2350,0.13,0.39
1884,0.13,0.5
1886,0.13,0.25
1566,0.13,0.26
1899,0.13,0.28
2061,0.13,0.24
2362,0.13,0.38
6,0.13,0.26
2490,0.13,0.24
2300,0.13,0.21
1383,0.13,0.38
2579,0.13,0.23
2213,0.13,0.29
2796,0.13,0.24
2220,0.13,0.28
1980,0.13,0.24
2255,0.13,0.31
2789,0.13,0.24
2264,0.13,0.22
2801,0.13,0.21
2267,0.13,0.67
1972,0.13,0.26
1965,0.13,0.21
2016,0.13,0.21
1392,0.13,0.2
2575,0.13,0.23
1830,0.13,0.24
1832,0.13,0.26
399,0.13,0.27
499,0.13,0.2
2442,0.13,0.25
2413,0.13,0.26
1821,0.13,0.35
2431,0.13,0.25
2406,0.13,0.3
401,0.13,0.25
2075,0.13,0.27
2520,0.13,0.4
1649,0.13,0.26
2501,0.13,0.24
397,0.13,0.29
1739,0.13,0.25
44,0.13,0.27
2084,0.13,0.26
1796,0.13,0.28
2697,0.13,0.23
1673,0.13,0.22
467,0.13,0.33
1714,0.13,0.23
2383,0.13,0.27
1611,0.13,0.23
2457,0.13,0.21
1630,0.13,0.35
406,0.13,0.29
2496,0.12,0.24
2500,0.12,0.22
1963,0.12,0.19
2215,0.12,0.37
474,0.12,0.27
1962,0.12,0.2
2776,0.12,0.24
2919,0.12,0.23
1773,0.12,0.2
241,0.12,0.24
403,0.12,0.35
1923,0.12,0.22
2106,0.12,0.21
2875,0.12,0.21
466,0.12,0.23
2920,0.12,0.21
2735,0.12,0.28
388,0.12,0.3
2343,0.12,0.27
2390,0.12,0.2
2337,0.12,0.25
2895,0.12,0.23
2335,0.12,0.26
2036,0.12,0.63
1897,0.12,0.27
402,0.12,0.22
1921,0.12,0.19
1835,0.12,0.26
2045,0.11,0.21
2058,0.11,0.24
2978,0.11,0.18
2584,0.11,0.27
3001,0.11,0.21
1799,0.11,0.27
1599,0.11,0.22
1601,0.11,0.21
1641,0.11,0.23
1652,0.11,0.19
465,0.11,0.19
1688,0.11,0.23
1721,0.11,0.26
1766,0.11,0.24
1776,0.11,0.24
1853,0.11,0.26
1964,0.11,0.2
186,0.11,0.31
345,0.11,0.26
1876,0.11,0.24
1878,0.11,0.42
1881,0.11,0.17
1885,0.11,0.16
320,0.11,0.19
1928,0.11,0.23
